suggested_carbs,suggested_protein,suggested_fat
258.5526645574285,69.03561889847006,47.67035247097658
381.020437595365,148.51717041981468,59.84675801305136
326.68474831243003,76.25986926083603,46.5529500627349
315.6634491352189,99.73147243967387,96.89957611646898
274.59238883073715,69.41400288297903,41.41803669877992
163.5574532064329,122.10939801465133,62.75888525347587
101.80845468012917,126.78091650077526,70.84432501378123
172.9368493679114,127.71310757522086,90.51449879964713
255.59942517242143,128.20996050069465,55.9605593356392
347.40888249273564,125.15866987030198,94.88054195834982
368.2051978445907,55.92170248362879,96.02436152555542
296.98482996045414,104.96142488986453,75.7985913731365
275.88397856117376,70.61254644773062,48.32226061171916
241.5676330469978,131.60232189345246,43.686766410519546
374.2027434837745,113.24117657382632,43.70425363193315
306.7666772968248,133.73571002993,51.669011636704845
258.22152629303685,86.73709571241156,42.973994918808735
210.82548481710336,145.11597722694643,60.032729359152725
204.25082342285384,122.44171301080347,46.881040084061695
328.26636756249655,113.19977158214655,78.96495043225254
170.57009214365564,113.64270318962133,99.3243491055782
341.98612478515736,84.92717290166735,67.93182787991253
292.91716366758624,83.47073801336529,83.72498158235192
378.60143525294956,79.9634254526355,53.305745984292116
265.31310100659914,90.67300882820012,60.70678979951981
323.2734835260083,105.14478039542257,44.28987299839603
230.05280833524145,121.34858692424635,44.17208291965822
173.67806550164025,112.00074338167417,61.42589716745854
320.64090941460694,91.65306590579254,40.52930862617121
344.2990669444695,70.26195186610144,67.2397624385394
399.0739890481431,96.34869238407512,84.96974143823635
295.43278771519164,124.42597885716214,76.62044794209095
361.8865294569305,61.90172886316823,46.9202739379998
332.8655788272045,120.69043681069067,98.06372495434428
151.25814502810988,131.7949831895545,69.80953212477273
189.3694947422901,147.87057906104798,98.62043925354462
111.72575470817976,59.038891504231806,78.91078269478854
370.5673791098681,73.74753289537361,63.85165680805637
155.8392804018219,120.5829984809586,90.98755768988043
180.0953189869376,120.95065088332012,91.68541005104079
227.35507029123374,53.404667954546106,46.80053180626618
315.88357673544203,73.28292572698433,47.94720575691417
255.06928394853082,100.2864659294757,91.3106256044771
158.6859569628163,76.87601212738383,60.10920473274121
308.1150468702766,56.740661527919855,70.18625019590192
287.1038239230711,147.26765869975395,93.52559937797804
350.7461560800335,133.65989761107085,41.6678743069143
108.16158302083448,54.89826013301142,55.80404961416323
165.76253380338738,97.79798972649024,82.01854422218247
217.88606281516803,55.000420202228796,78.98481464743094
268.02453633728805,111.14729419849601,71.98035710496394
391.4760890122677,130.5535809386837,57.55116757400846
398.7563021806786,119.15726121959203,77.90065953344285
320.13003576058475,81.99527080139926,74.57516804126746
305.9400605440005,97.56872406218619,53.1631677605213
306.81894821816627,65.32183036877508,77.03222742650163
309.1054130745398,140.59560405082118,58.574115360733785
364.5248782177553,106.10997905717758,59.44172629220188
281.15767687082143,135.56952110398169,43.665057628385505
293.96648102156394,123.77318494981493,85.45169839567833
314.1227238063603,61.064784036788666,70.71690675976002
323.5643557677682,108.65082483833663,69.46662441303073
328.65183240644524,99.37277175755091,66.51213371460629
268.4037360919172,81.63319664479108,76.10794374837712
296.1779750993609,65.6648935667287,69.88414261592489
164.04800271327662,115.19759279833579,72.53114659571898
208.79088436466728,83.5960240203247,51.66321936206872
278.31457712878785,96.7408007219443,48.324942539374874
166.46908797119585,130.77933257806413,45.76499833109618
162.7815675412963,87.72281755481293,72.78719761175518
257.09736244989233,75.58410045033162,46.158853569850876
208.29486419455424,120.0628851753035,68.42231537248344
389.4457469336064,56.544091554986984,43.113079549819886
322.9177739785976,58.91918243151449,95.0933059789865
174.86720677214274,114.40697195821862,92.47904259370372
382.7693752810745,134.2163992186467,64.60171134746896
339.4691299856805,80.11207748781733,98.80240261194159
149.2535641494983,81.31013567386908,97.66891586255821
154.26600467813057,115.71717063667184,58.16196116131685
149.63440687595931,109.19391432687087,49.606717066456035
